Latitude,Longitude,Timestamp
38.90962999999999,-77.0399,2022-06-25T21:40:07Z
38.90970999999999,-77.04008,2022-06-25T21:40:29Z
38.909639999999996,-77.04001,2022-06-25T21:45:09Z
38.909639999999996,-77.04001,2022-06-25T21:48:28Z
38.90975,-77.04011,2022-06-25T21:50:08Z
38.90969999999999,-77.04003,2022-06-25T21:50:29Z
38.90968000000001,-77.03998,2022-06-25T21:54:28Z
38.90969000000001,-77.04001,2022-06-25T21:55:09Z
38.909669999999984,-77.04001,2022-06-25T21:59:56Z
38.909760000000006,-77.04004,2022-06-25T22:00:29Z
38.90975,-77.04004,2022-06-25T22:04:28Z
38.90944999999999,-77.03962,2022-06-25T22:05:25Z
38.90923000000001,-77.03949,2022-06-25T22:06:29Z
38.90980999999999,-77.04013,2022-06-25T22:10:08Z
38.909760000000006,-77.04017,2022-06-25T22:10:29Z
38.90975,-77.04022,2022-06-25T22:14:28Z
38.90974,-77.04004,2022-06-25T22:14:45Z
38.90960000000001,-77.04002,2022-06-25T22:16:15Z
38.90959000000001,-77.03876,2022-06-25T22:17:44Z
38.909639999999996,-77.03787,2022-06-25T22:18:14Z
38.90960999999999,-77.03671,2022-06-25T22:18:21Z
38.90867,-77.03658,2022-06-25T22:18:48Z
38.90774999999999,-77.0366,2022-06-25T22:18:55Z
38.90701999999999,-77.03659,2022-06-25T22:19:01Z
38.90629000000001,-77.03661,2022-06-25T22:19:05Z
38.90539000000001,-77.03662,2022-06-25T22:19:13Z
38.90373,-77.03618,2022-06-25T22:20:26Z
38.90379999999999,-77.03509,2022-06-25T22:20:35Z
38.90378999999999,-77.03406,2022-06-25T22:21:24Z
38.903760000000005,-77.03333,2022-06-25T22:21:35Z
38.90353999999999,-77.03213,2022-06-25T22:21:56Z
38.90251000000001,-77.0319,2022-06-25T22:22:29Z
38.90168,-77.03186,2022-06-25T22:23:00Z
38.90087,-77.03196,2022-06-25T22:23:09Z
38.90001000000001,-77.03196,2022-06-25T22:23:15Z
38.89904999999999,-77.03195,2022-06-25T22:23:21Z
38.89832000000001,-77.03171,2022-06-25T22:23:30Z
38.89775,-77.03129,2022-06-25T22:23:41Z
38.89678000000001,-77.03145,2022-06-25T22:24:15Z
38.895849999999996,-77.03213,2022-06-25T22:25:16Z
38.89496,-77.03216,2022-06-25T22:25:26Z
38.893699999999995,-77.03211,2022-06-25T22:25:33Z
38.89312000000001,-77.03208,2022-06-25T22:26:10Z
38.892120000000006,-77.03206,2022-06-25T22:26:47Z
38.89134999999999,-77.03211,2022-06-25T22:27:01Z
38.89052000000001,-77.03211,2022-06-25T22:28:18Z
38.88963000000001,-77.0321,2022-06-25T22:28:28Z
38.88883999999999,-77.0321,2022-06-25T22:28:41Z
